UUID,super_book_code,primary_author_name,full_book_title,stated_publication_years,illegal_date
NA,spbk0000585,"Hippolyte de Guilbert, Jacques-Antoine","Discours sur l'état actuel de la politique et de la science militaire en Europe: avec le plan d'un ouvrage intitulé ""La France politique et militaire""",1773,NA
NA,spbk0000585,"Hippolyte de Guilbert, Jacques-Antoine",Discours sur l'état actuel de la politique et de la science militaire en Europe,1773,NA
NA,spbk0000586,"Servan, Joseph-Michel-Antoine","Discours sur l'administration de la justice criminelle, prononcé par M. S***, avocat-général",1777,NA
NA,spbk0000586,"Servan, Joseph-Michel-Antoine",Discours sur l'administration de la justice criminelle,1774,NA
NA,spbk0000586,"Servan, Joseph-Michel-Antoine",Discours sur l'administration de la justice criminelle,NA,NA
NA,spbk0000587,"Hooke, Luke Joseph","Discours et réflexions critiques sur l'histoire et le gouvernement de l'ancienne Rome, pour servir de supplément à l'Histoire romaine de MM. Rollin et Crevier",1784,NA
NA,spbk0000588,"Bossuet, Jacques Bénigne",Discours sur l'histoire universelle,1784,NA
NA,spbk0000588,"Bossuet, Jacques Bénigne",Discours sur l'histoire universelle: pour expliquer la suite de la religion & les changemens des empires,1755,NA
NA,spbk0000589,"Rousseau, Jean Jacques",Discours sur l'origine et les fondemens de l'inégalité parmi les hommes,1755,NA
NA,spbk0000591,"Auger, Athanase","Discours sur l'éducation prononcés au Collège de Rouen, Suivis de Notes tirées des meilleurs Auteurs anciens & modernes; auxquels on a joint des Réflexions sur l'amitié. Par M. Auger",1775,NA
NA,spbk0000592,"Collins, Anthony","Discours sur la liberté de penser, écrit à l'occasion d'une nouvelle secte d'esprits forts. Traduit du l'anglais et augmenté d'une lettre d'un médecin arabe",1766,NA
NA,spbk0000593,"Gellert, Christian Fuerchtegott","Discours sur la nature, l'étendue et l'utilité de la morale",1766,NA
NA,spbk0000595,"Maury, Cardinal Jean-Siffrein","Discours choisis sur divers sujets de religion et de littérature, par M. l'abbé Maury",1777,NA
NA,spbk0000596,"Holbach, Paul Henri Dietrich [d']",Discours sur les miracles de Jésus-Christ. Traduit de l'anglais de Thomas Woolston,NA,NA
NA,spbk0000597,"Servan, Joseph-Michel-Antoine",Discours sur les moeurs,1772,NA
NA,spbk0000600,"Canvane, Peter","Dissertation sur l'huile de palma Christi, ou l'huile de ricin que l'on appelle communément huile de castor... par le Dr Pierre Canvane... Ouvrage traduit de l'anglais par M. Hamart de La Chapelle",1777,NA
NA,spbk0000601,"Boulanger, Nicolas-Antoine",Dissertation sur Elie et Enoch par l'auteur des Recherches sur l'origine du despotisme oriental et servant de suite à cet ouvrage,NA,NA
NA,spbk0000603,"Beguillet, Edme","Dissertation sur l'ergot ou bled cornu, par M. Beguillet",1771,NA
NA,spbk0000604,"Guiard, Dom Antoine","Dissertation sur l'honoraire des messes, où l'on traite de son origine, des illusions et autres abus qui s'en sont suivis",NA,NA
NA,spbk0000605,"Christin, Charles-Gabriel-Frédéric","Dissertation sur l'établissement de l'Abbaye de S. Claude, ses chroniques, se légendes, ses chartes, ses usurpations, et sur les droits des habitans de cette terre",1772,NA
NA,spbk0000606,"David, Jean-Pierre",Dissertation sur la figure de la terre,NA,NA
NA,spbk0000607,"Thomassin, Jean-François","Dissertation sur le charbon malin de la Bourgogne, ou la pustule maligne... 2de édition, augmentée, avec un examen de l'Avertissement et des notes de l'éditeur, du Traité de l'anthrax de M. Chambon, par M. Thomassin",1782,NA
NA,spbk0000608,"Cato, Dionysius",Catonis Disticha moralia,NA,NA
NA,spbk0000609,NA,Diversités galantes et litteraires,1778,NA
NA,spbk0000610,NA,"Documens de l'Ecriture-sainte & des SS. Peres pour les personnes du sexe, où sont compris les documens des jeunes filles, des vierges et des veuves",1783,NA
NA,spbk0000611,NA,Dom Alphonse l'impuissant. Tragédie,NA,NA
NA,spbk0000612,"Arnaud, François-Thomas-Marie de Baculard [d']","Dona Elmira, ou la fidélité à l'épreuve ",NA,NA
NA,spbk0000613,"Lennox, Charlotte","Donquichote femelle, traduction libre de l'anglois",1773,NA
NA,spbk0000615,Fontette de Sommery [Mademoiselle] ,"Doutes sur différentes opinions reçues dans la société. Cinquieme edition, revue & augmentée",1785,NA
NA,spbk0000616,"Mallet Du Pan, Jacques",Doutes sur l'éloquence et les systèmes politiques,1775,NA
NA,spbk0000617,"Boulainvilliers, Henri [comte de]",Doutes sur la religion par Boulainvilliers,NA,NA
NA,spbk0000618,"Mirabeau, Honoré-Gabriel Riqueti [comte de]",Doutes sur la liberté de l'Escaut,NA,NA
NA,spbk0000619,"Prévost, Antoine François",Doyen (le) de Killerine: histoire morale,NA,NA
NA,spbk0000620,"Mercier, Louis-Sébastien",Drames choisis,1789,NA
NA,spbk0000624,"Vattel, Emer [de]","Droit des gens (le) ou Principes de la loi naturelle, appliqués à la conduite & aux affaires des nations & des souverains",1773,NA
NA,spbk0000624,"Vattel, Emer [de]","Droit des gens (le) ou Principes de la loi naturelle, appliqués à la conduite & aux affaires des nations & des souverains",1777,NA
NA,spbk0000624,"Vattel, Emer [de]","Droit des gens (le), ou Principes de la loi naturelle, appliqués à la conduite & aux affaires des nations & des souverains",1777,NA
NA,spbk0000625,"Pillichody, Jean Georges","Droit (le) naturel, d'un père à son fils, avec des notions pour servir à l'étude du droit civil et à celle du droit des gens, par M. Pillichody",1769,NA
NA,spbk0000626,"Mably, Gabriel Bonnot [de]",Droit (le) public de l'Europe: fondé sur les traités,NA,NA
NA,spbk0000627,"Voltaire, François Marie Arouet","Droits (les) des hommes, et les usurpations des autres, traduit de l'italien",1768,NA
NA,spbk0000628,"Blanc de Guillet, Antoine","Druides (les), tragédie représentée pour la première fois sur le Théâtre-Français, le 7 mars 1772",NA,NA
NA,spbk0000629,"Palissot de Montenoy, Charles","Dunciade (la), poème en dix chants",NA,NA
NA,spbk0000632,"Bond, Thomas","Défense de l'inoculation, et relation des progrès qu’elle a faits à Philadelphie en 1758",1784,NA
NA,spbk0000634,"Rozier, François",Démonstrations élémentaires de botanique,1787,NA
NA,spbk0000634,"Rozier, François",Démonstrations élémentaires de botanique,NA,NA
NA,spbk0000635,"Voltaire, François Marie Arouet","Dépositaire (le): comédie en cinq actes, par Mr. de Voltaire",1772,NA
NA,spbk0000635,"Voltaire, François Marie Arouet",Dépositaire (le),NA,NA
NA,spbk0000636,"Mourier, Ferdinand-Louis","Description de l'Arabie d'après les observations et recherches faites dans le pays même, par M. Niebuhr",NA,NA
NA,spbk0000637,"Saint-Paul, François-Marie Mayeur [de]","Désoeuvré (le), ou l'espion du boulevard du Temple",NA,NA
NA,spbk0000638,"Bertrand, Jean [pasteur à Orbe]","Eau (de l') relativement à l'économie rustique, ou Traité de l'irrigation des prés ",1764,NA
NA,spbk0000639,"Garrigue, N.","Ebauche de la religion naturelle, par Mr. Wollaston, traduite de l'anglais avec un supplément et autres additions considérables",NA,NA
NA,spbk0000640,"Toussaint, François-Vincent","Eclaircissement sur les moeurs, par l'auteur des Moeurs",1763,NA
NA,spbk0000640,"Toussaint, François-Vincent","Eclaircissement sur les moeurs, par l'auteur des Moeurs",1762,NA
NA,spbk0000641,NA,"Ecclésiastique (l') citoyen, ou lettres sur les moyens de rendre les personnes, les établissemens & les biens de l'Eglise encore plus utiles à l'etat & même à la religion ",NA,NA
NA,spbk0000642,"Sigaud de La Fond, Joseph-Aignan","Ecole (l') du bonheur, ou Tableau des vertus sociales",1782,NA
NA,spbk0000643,NA,"Ecole (l') de la vertu, ou lettres morales utiles à toutes personnes pour se conduire dans le monde, principalement à la jeunesse",1772,NA
NA,spbk0000644,"Reyre, Joseph","Ecole (l') des jeunes demoiselles, ou Lettres d'une mère vertueuse à sa fille, avec les réponses de la fille à sa mère, recueillies et publiées par M. l'abbé Reyre",1786,NA
NA,spbk0000645,"Milot, Michel","Ecole (l') des filles, ou la philosophie des dames",NA,NA
NA,spbk0000646,"Dodsley, Robert","Economie (l') de la vie humaine, trad. sur un manuscrit indien, composé par un ancien Bramine",1783,NA
NA,spbk0000646,"Brissot de Warville, Félicité","Manuel de tous les ages, ou Économie de la vie humaine",1782,NA
NA,spbk0000647,"Crébillon, Claude Prosper Jolyot de","Ecumoire (l'), ou Tanzai et Néadarné, histoire japonoise, par M. de Crébillon le fils",1756,NA
NA,spbk0000651,"Chatelain, Henri-Abraham",Education (l') mise à la portée de tout le monde,1781,NA
NA,spbk0000652,"Baudouin, Nicolas",Education (de l') d'un jeune seigneur,1728,NA
NA,spbk0000656,NA,"Effets des passions, des plaisirs, de l'éducation et de la négociation",1776,NA
NA,spbk0000657,"Perrin, Jacques-Antoine-René",Egarements (les) de Julie,NA,NA
NA,spbk0000657,"Perrin, Jacques-Antoine-René",Egarements (les) de Julie,1776,NA
NA,spbk0000658,"Imbert, Barthélemy","Egaremens (les) de l'amour, ou Lettres de Faneli et de Milfort",1777,NA
NA,spbk0000658,"Imbert, Barthélemy","Egaremens (les) de l'amour, ou lettres de Fanéli et de Milfort",1776,NA
NA,spbk0000658,"Imbert, Barthélemy","Egaremens (les) de l'amour, ou Lettres de Fanéli et de Milfort",NA,NA
NA,spbk0000659,"Crébillon, Claude Prosper Jolyot de","Egaremens (les) du coeur et de l'esprit, ou Mémoires de Mr de Meilcour",1765,NA
NA,spbk0000662,"Haller, Albrecht [von]",Elementa physiologiae corporis humani,NA,NA
NA,spbk0000663,"Pott, Jules-Henri","Elémens (des), ou essai sur la nature, les propriétés, les effets et l'utilité de l'air, de l'eau, du feu et de la terre  ",1782,NA
NA,spbk0000664,Euclide,Elémens (les) d'Euclide du R. P. Dechalles... et de M. Ozanam... démontrés d'une manière nouvelle... et augmentés... par M. Audierne. Seconde édition,1753,NA
NA,spbk0000665,"Bertrand, Jean [pasteur à Orbe]","Elémens d'agriculture fondés sur les faits et les raisonnemens, à l'usage du peuple de la campagne: qui ont remporté le prix de la Société économique de Berne, en 1774",1775,NA
NA,spbk0000667,NA,Elemens d'histoire de france,NA,NA
NA,spbk0000672,"Voltaire, François Marie Arouet","Elémens de la philosophie de Newton publiés par M. de Voltaire, et suivis de quelques pièces de littérature, de philosophie et de physique. Nouvelle édition augmentée",1782,NA
NA,spbk0000674,NA,Elemens de moralle universelle,NA,NA
NA,spbk0000675,"Campe, Joachim Heinrich","Elémens de psycologie, ou Leçons élémentaires sur l'âme à l'usage des enfans, par J. H. Campe... ouvrage traduit de l'allemand",NA,NA
NA,spbk0000679,"Witel, Jérémie","Mon Elève, ou Emile instituteur: nouvelle éducation morale",1786,NA
NA,spbk0000680,"Goudar, Ange",Considerations sur les causes de l'ancienne foiblesse de l'Empire de Russie,NA,NA
NA,spbk0000680,"Goudar, Ange",Considerations sur les causes de l'ancienne foiblesse de l'Empire de Russie et de sa nouvelle puissance: avec un discours oratoire contenant l'eloge de Catherine II aujourd'hui régnante,1772,NA
NA,spbk0000681,"Cubières-Palmézeaux, Michel [de]","Eloge de Claude Joseph Dorat, suivie de poésies qui lui sont relatives, d'une apologie de Colardeau, d'un dialogue intitulé: Gilbert et une Furie, de la Vengeance de Pluton, ou suite des Muses rivales, Ouvrage Dramatique en Vers & en Prose, et de quelques pieces détachée",1781,NA
NA,spbk0000682,"Necker, Jacques","Eloge de Jean-Baptiste Colbert: discours qui a remporté le prix de l'Académie françoise, en 1773",NA,NA
NA,spbk0000683,"Langeac, Égide de Lespinasse",Eloge de Corneille,NA,NA
NA,spbk0000684,Sapt [abbé de],"Eloge de Henri le Grand, roi de France et de Navarre, par M. Desapt",1768,NA
NA,spbk0000685,"Voltaire, François Marie Arouet","Eloge de Louis XV, prononcé dans une académie le 25 mai 1774",NA,NA
NA,spbk0000686,"Chastellux, François-Jean [marquis de]",Eloge de M. Helvétius,NA,NA
NA,spbk0000689,"Thomas, Antoine-Leonard.",Eloge de Marc-Aurèle,1775,NA
NA,spbk0000689,"Thomas, Antoine-Leonard.","Eloge de Marc-Aurèle, par M. Thomas",1775,NA
NA,spbk0000690,"Erasmus, Desiderius","Eloge (l') de la folie, composé en forme de déclamation par Erasme",NA,NA
NA,spbk0000692,NA,Eloge de Socrate; prononcé dans une Société de philanthropes,1777,NA
NA,spbk0000693,NA,Discours oratoire contenant l'eloge de ... Marquis de Pombal faisant les fonctions de Premier Ministre en Portugal,1774,NA
NA,spbk0000696,"Pascal, Blaise",Eloge et Pensées de Pascal,1778,NA
NA,spbk0000697,"Rémi, Joseph-Honoré","Collection de divers éloges publiés à l'occasion du prix proposé par l'Académie Françoise, en 1777, pour le meilleur éloge du chancelier de L'Hopital",1778,NA
NA,spbk0000699,NA,Eloge de Pascal,NA,NA
NA,spbk0000701,"Frederick II, King of Prussia",Eloge de Voltaire par le Roi de Prusse,NA,NA
NA,spbk0000702,"Du Commun, Jean Pierre Nicolas","Eloge (l') des tétons, ouvrage curieux, galant et badin, composé pour les divertissements des dames",NA,NA
NA,spbk0000704,"Bertrand, Elie","Elémens d'oryctologie, ou Distribution méthodique des fossiles",1773,NA
NA,spbk0000707,"Bossuet, Jacques Bénigne","Elévation à Dieu sur tous les mysteres de la religion chrétienne, ouvrage posthume de messire Jacques-Benigne Bossuet, evêque de Meaux",1753,NA
NA,spbk0000710,"Rivarol, Claude-François [de]","Emprunteur (l'), comédie en 1 acte et en vers, par M. de St-Martin ",1785,NA
NA,spbk0000711,NA,[Véritable (le) Enchiridion],NA,NA
NA,spbk0000712,[Encyclopédie],"Encyclopédie, ou Dictionnaire raisonné des sciences, des arts et des métiers",1778-1779,NA
NA,spbk0000712,[Encyclopédie],"Encyclopédie, ou Dictionnaire universel raisonné des connoissances humaines",1770-1776,NA
NA,spbk0000712,[Encyclopédie],[Encyclopédie - 2nd Folio edition],NA,NA
NA,spbk0000712,[Encyclopédie],[Encyclopédie - Octavo],NA,NA
NA,spbk0000712,[Encyclopédie],[Encyclopédie - Table analytique et raisonnée des matieres contenues...],NA,NA
NA,spbk0000713,NA,"Encyclopédie de jurisprudence ou dictionnaire complet... de jurisprudence civile, criminelle, canonique et bénéficiale de toutes les nations de l'Europe, par une société de jurisconsultes",1777-1781,NA
NA,spbk0000714,"Formey, Jean Henri Samuel",Institution des enfans: imprimé ci-devant sous le titre impropre d'Abrégé de toutes les sciences à l'usage des enfans de six ans jusqu'à douze ,NA,NA
NA,spbk0000714,"Formey, Jean Henri Samuel","Abrégé de toutes les sciences, à l'usage des enfans",NA,NA
NA,spbk0000714,"Formey, Jean Henri Samuel","Encyclopédie des enfans, ou abrégé de toutes les sciences à l'usage des jeunes gens",1784,NA
NA,spbk0000715,NA,Encyclopédie économique ou Système général: 1 ° d'économie rustique... 2 ° d'économie domestique... 3 ° d'économie politique... Ouvrage extrait des meilleurs livres... par quelques membres de la Société économique de Berne,1770-1771,NA
NA,spbk0000716,"Crommelin, Isaac-Mathieu","Encyclopédie élémentaire, ou Rudiment des sciences et des arts",1775,NA
NA,spbk0000717,NA,[Entdeckung der Engeländer],NA,NA
NA,spbk0000718,"Fourcroy, Antoine François [de]",Enfans (les) élevés dans l'ordre de la nature,1775,NA
NA,spbk0000718,"Fourcroy, Antoine François [de]","Enfans (les) élevés dans l'ordre de la nature, ou, Abrégé de l'histoire naturelle des enfans du premier age: a l'usage des peres & meres de famille",1783,NA
NA,spbk0000719,"Vadé, Jean Joseph","Folette, ou l'Enfant gâté",NA,NA
NA,spbk0000720,"Voltaire, François Marie Arouet","Enfant (l') prodigue, ou l'école de la jeunesse",NA,NA
NA,spbk0000721,"La Mothe, François-Charles Huerne [de]","Histoire nouvelle de Margot des pelotons, ou la galanterie naturelle",NA,NA
NA,spbk0000722,"Holbach, Paul Henri Dietrich [d']","Enfer (l') détruit, ou examen raisonné du dogme de l'éternité des peines, ouvrage traduit de l'anglais",NA,NA
NA,spbk0000723,"Lessing, Gotthold Ephraim","Entretiens sur la franc-maçonnerie, par un philosophe bien digne d'en être",NA,NA
NA,spbk0000724,NA,"Entretiens (les) de l'autre monde sur ce qui se passe dans celui-ci, ou dialogues grotesques et pittoresques entre feu Louis XV, feu le prince de Conti, feu M. Turgot, Saint-Germain et autres personnages",NA,NA
NA,spbk0000725,"La Fite, Marie-Élisabeth Bouée [Mme de]","Entretiens, drames et contes moraux, à l'usage des enfants, par Mme de La Fite",1784,NA
NA,spbk0000726,"Caraccioli, Louis-Antoine [de]",Entretiens (les) du Palais Royal,1787,NA
NA,spbk0000727,"Kniphuysen-Nienoort, George Guillaume [de]",Entretiens solitaires d'une âme dévote avec son Dieu,1764,NA
NA,spbk0000729,"Baston, Guillaume-André-René","Entrevues (les) du Pape Ganganelli, servant de suite aux lettres du même auteur",1778,NA
NA,spbk0000730,"Haller, Albrecht [von]",Epistolae ab eruditis viris ad Alb. Hallerum scriptae,1773-1775,NA
NA,spbk0000731,"Tissot, Samuel Auguste André David",Observations et dissertations de médecine pratique: publiées en forme de lettres,1784,NA
NA,spbk0000731,"Tissot, Samuel Auguste André David",Epistolae medico-practicae,NA,NA
NA,spbk0000731,"Tissot, Samuel Auguste André David","Observations et dissertations de médecine pratique, publ. en forme de lettres par Mr. Tissot...; et trad. ... par Mr. Vicat",1780,NA
NA,spbk0000733,"Dorat, Claude Joseph","Epître de Pierre Bagnolet, citoyen de Gonesse, aux grands hommes du jour",1777,NA
NA,spbk0000734,"Voltaire, François Marie Arouet",Epître à Horace,NA,NA
NA,spbk0000735,"Voltaire, François Marie Arouet","Epitres, satires, contes, odes, et pieces fugitives, du poëte philosophe, dont plusieurs n'ont point encore paru: enrichies de notes curieuses et intéressantes",1771,NA
NA,spbk0000736,"Arnaud, François-Thomas-Marie de Baculard [d']","Epoux (les) malheureux, ou Histoire de monsieur et madame de La Bedoyere, ecrite par un ami",NA,NA
NA,spbk0000738,"Voltaire, François Marie Arouet",Epître (l') aux Romains,NA,NA
NA,spbk0000739,"La Harpe, Jean François [de]","Epître à Ninon de l'Enclos, et réponse à M. de V., publié par M. Asinoff, ancien pasteur d'Oldenbourg",NA,NA
NA,spbk0000741,"Erasmus, Desiderius",Colloquia familiaria,NA,NA
NA,spbk0000742,"Voltaire, François Marie Arouet","Eriphile, tragédie de M. de Voltaire. Représentée par les Comédiens ordinaires du Roi, le vendredi 7 mars 1732. Pièce que l'auteur s'étoit opposé qu'elle fût imprimée de son vivant",1779,NA
NA,spbk0000743,"Mirabeau, Honoré-Gabriel Riqueti [comte de]",Errotika biblion,1783,NA
NA,spbk0000744,"Saint-Martin, Louis-Claude [de]","Erreurs (des) et de la vérité, ou les Hommes rappellés au principe universel de la science",NA,NA
NA,spbk0000744,"Saint-Martin, Louis-Claude [de]","Erreurs (des) et de la vérité, ou les Hommes rappellés au principe universel de la science",1782-1787,NA
NA,spbk0000745,"Pidansat de Mairobert, Mathieu-François","Espion anglois (l'), ou correspondance secrète entre milord All'eye et milord Alle'ar",1779-1783,NA
NA,spbk0000745,"Pidansat de Mairobert, Mathieu-François","Espion anglois (l'), ou correspondance secrète entre milord All'eye et milord Alle'ar",NA,NA
NA,spbk0000745,"Pidansat de Mairobert, Mathieu-François","Espion anglois (l'), ou correspondance secrète entre milord All'eye et milord Alle'ar",NA,NA
NA,spbk0000745,"Pidansat de Mairobert, Mathieu-François","Espion anglois (l'), ou correspondance secrète entre milord All'eye et milord Alle'ar",1779-1787,NA
NA,spbk0000749,"Pidou de Saint-Olan, Isidore-François",Espion (l') turc dans les cours des princes chrétiens,NA,NA
NA,spbk0000750,"Goudar, Ange","Espion (l') français à Londres, ou observations critiques sur l'Angleterre et sur les anglais, par M. le chevalier Goudard",1780,NA
NA,spbk0000752,"Robertson, William",Esprit et génie des écrivains célèbres du XVIIIe siècle,1784,NA
NA,spbk0000753,"Helvétius, Claude-Adrien",Esprit (de l'),NA,NA
NA,spbk0000754,"Prault, Louis Laurent","Esprit (l') d'Henri IV: ou Anecdotes les plus intéressantes, traits sublimes, reparties ingénieuses, & quelques lettres de ce prince",1775,NA
NA,spbk0000755,"La Porte, Joseph [de]","Esprit (l') de l'Encyclopédie, ou choix des articles les plus curieux, les plus agréables, les plus piquants, et les plus philosophiques de ce grand dictionnaire",NA,NA
NA,spbk0000756,NA,Esprit (l') des esprits ou pensées choisies; pour servir de suite aux Maximes de la Rochefoucault,1784,NA
NA,spbk0000756,NA,Esprit (l') des esprits ou pensées choisies; pour servir de suite aux Maximes de la Rochefoucault,NA,NA
NA,spbk0000757,"Dumas, Jean-François",Esprit (l') du citoyen,1783,NA
NA,spbk0000758,"Gordon, Thomas","Esprit (l') du clergé, ou le christianisme primitif vengé des entreprises et des excès de nos prêtres modernes. Traduit de l'anglais",NA,NA
NA,spbk0000759,"Collins, Anthony","Esprit (l') du Judaïsme, ou Examen raisonné de la loi de Moÿse, et de son influence sur la religion chrétienne",1770,NA
NA,spbk0000760,"Addison, Joseph","Esprit (l') d'Addisson: ou Les beautés du Spectateur, du Babillard et du Gardien, consistant principalement dans une collection des feuilles de Mr. Addisson, avec un précis de sa vie, ouvrage nouvellement trad. de l'anglais par Mr. J.P.A. ",1777,NA
NA,spbk0000761,"Lanjuinais, Joseph","Esprit (l') du pape Clément XIV, mis au jour par le R. P. B***; traduit de l'italien par l'abbé C",1775,NA
NA,spbk0000762,"Raynal, Guillaume-Thomas-François",Esprit de Guillaume-Thomas Raynal,NA,NA
NA,spbk0000763,"Durand, François-Jacques",Esprit de Saurin: ouvrage utile à toutes les familles chrétiennes,1767,NA
NA,spbk0000764,"Alletz, Pons Augustin","Esprit (l') des journalistes de Trévoux, ou morceaux précieux de littérature, répandus dans les mémoires pour l'histoire des sciences & des beaux-arts, depuis leur origine en 1701, jusqu'en 1762: contenant ce qu'il y a de plus neuf & de plus curieux, soit pour les ouvrages dont ces littérateurs ont rendu compte, soit pour les réflexions judicieuses qui servent de préliminaire à leurs analyses  ",1771,NA
NA,spbk0000765,"Nonnotte, Claude-François",Esprit (l') de Voltaire dans ses écrits,1779,NA
NA,spbk0000766,"Mailly, Jean-Baptiste","Esprit (l') de la fronde, ou Histoire politique et militaire des troubles de France pendant la minorité de Louis XIV",1772-1773,NA
NA,spbk0000767,"Mailly, Jean-Baptiste","Esprit (l') des croisades, ou Histoire politique et militaire des guerres entreprises par les chrétiens contre les mahométans, pour le recouvrement de la Terre-Sainte, pendant les XIe, XIIe et XIIIe siècles",1780,NA
NA,spbk0000768,"Montesquieu, Charles Louis de Secondat",Esprit (de l') des loix,NA,NA
NA,spbk0000769,"Alletz, Pons Augustin","Esprit (l') des Romains considéré dans les plus belles sentences, maximes et réflexions des auteurs célèbres de l'ancienne Rome... En françois et en latin",1768,NA
NA,spbk0000770,Charlier,Esprit du grand Corneille. Extrait de ses oeuvres dramatiques dédié à Monsieur de Voltaire,1773-1776,NA
NA,spbk0000771,NA,"Esquisse intéressant, du tableau fidèle des causes qui ont occasioné les révolutions actuelles de l'Amérique",1783,NA
NA,spbk0000773,NA,"Essai contre l'abus du pouvoir des souverains et juste idée du gouvernement d'un bon prince, suivi du tocsin contre le despotisme du souverain, par M***, avocat",1776,NA
NA,spbk0000775,"Trembley, Jean","Essai de trigonométrie sphérique, contenant diverses applications de cette science à l'astronomie, par Jean Trembley",1783,NA
NA,spbk0000776,NA,"Essai historique sur la vie de Marie Antoinette d'Autriche, reine de France, pour servir à l'histoire de cette princesse",NA,NA
NA,spbk0000779,"Bertrand, Elie",Essai philosophique et moral sur le plaisir,1777,NA
NA,spbk0000780,"Linguet, Simon-Nicolas-Henri",Essai philosophique sur le monachisme,1776,NA
NA,spbk0000780,"Linguet, Simon-Nicolas-Henri","Essai philosophique sur le monachisme, par M. L.",1775,NA
NA,spbk0000781,"Raynal, Guillaume-Thomas-François",Essai sur l'administration de St. Domingue,1785,NA
NA,spbk0000782,"Lochée, Lewis",Essai sur l'éducation militaire avec un abrégé de la constitution politique de l'Angleterre,1782,NA
NA,spbk0000783,"Pope, Alexander",Essai sur l'homme,NA,NA
NA,spbk0000783,"Pope, Alexander","Essai sur l'homme: poëme philosophique en cinq langues savoir, anglois, latin, italien, françois et allemand",NA,NA
NA,spbk0000785,"Lerber, Sigismond Louis",Essais sur l'étude de la morale,1776,NA
NA,spbk0000785,"Lerber, Sigismond Louis",Essais sur l'étude de la morale,1773,NA
NA,spbk0000787,"Chardon, Daniel-Marc-Antoine",Essai sur la colonie de Sainte-Lucie,1779,NA
NA,spbk0000788,"Deslandes, M.",Essai sur la marine et sur le commerce. Par Mr. D****. Avec des remarques historiques & critiques de l'auteur,1743,NA
NA,spbk0000790,"Collins, Anthony",Essai sur la nature et la destination de l'âme,NA,NA
NA,spbk0000791,NA,[Essai sur la necessité],NA,NA
NA,spbk0000792,"La Fite de Pelleport, Anne-Gédéon",Essai sur la partie arithmétique de l'horlogerie,1779,NA
NA,spbk0000793,"Caillard, Antoine-Bernard","Essai sur la physiognomonie, destiné à faire connoître l'homme et à le faire aimer, par Jean Gaspar Lavater",1781-1803,NA
NA,spbk0000794,"Price, Richard","Essai sur la Providence, par M. Price, traduit de l'anglais avec des notes, par M. Charles de Loys",1776,NA
NA,spbk0000795,"Bion, Jean",Essai sur la providence et sur la possibilité physique de la resurrection. Traduit de l'anglais du Dr. B***,NA,NA
NA,spbk0000796,Leclerc de Sept-Chênes,Essai sur la religion des anciens Grecs,1787,NA
NA,spbk0000797,"Venel, Gabriel-François",Essai sur la santé et sur l'éducation médicinale des filles destinées au mariage,1776,NA
NA,spbk0000798,"Tardy de Montravel, A.-A.","Essai sur la théorie du somnambulisme magnétique, par Mr. T. D. M.",1786,NA
NA,spbk0000801,"Rutledge, Jean Jacques [chevalier]",Essai sur le caractère et les moeurs des françois comparées à celles des Anglois,1776,NA
NA,spbk0000802,Marbault,"Essai sur le commerce de Russie, avec l'histoire de ses découvertes",1777,NA
NA,spbk0000804,"Diderot, Denis","Principes de la philosophie morale, ou essai de M.S*** sur le mérite et la vertu, avec des réflexions",NA,NA
NA,spbk0000805,NA,Essai sur le préjugé subsistant contre les familles des condamnés pour crime et sur la confiscation,1783,NA
NA,spbk0000806,"Thiébault, Dieudonné","Essai sur le style, à l'usage de l'École royale des jeunes gentilshommes, par M. Thiebault",1774,NA
NA,spbk0000807,"Hume, David",Essai sur le suicide. Traduit de l'anglais de David Hume,1785,NA
NA,spbk0000809,"Arcq, Philippe-Auguste de Sainte-Foix [chevalier d']",Essais sur l'administration,1786,NA
NA,spbk0000810,"Richer, Adrien",Nouvel essai sur les grands événemens par les petites causes,1760,NA
NA,spbk0000811,"Brezé, Gioacchino Bonaventura Argentero","Essai sur les haras: ou, Examen méthodique des moyens propres pour établir, diriger & faire prospérer les haras. Suivi de deux courts traités. Dans l'un on montre une méthode facile de bien examiner les chevaux que l'on veut acheter afin de les choisir avec intelligence & n'être point trompé par les Maquignons. Dans l'autre on traite de la méchanique du mors, & on enseigne l'art de la bien assortir aux différentes bouches des chevaux ",1769,NA
NA,spbk0000812,"Lally-Tollendal, Trophime-Gérard [marquis de]","Essai sur quelques changemens qu'on pourrait faire dès à présent dans les loix criminelles de France, par un honnête homme, qui depuis qu'il connoit ces loix, n'est pas bien sûr de n'être pas pendu un jour ",1786,NA
NA,spbk0000813,"Langhans, Daniel","Essai sur les maladies auxquelles sont sujettes les personnes qui vivent à la cour et dans le grand monde, traduit de l'allemand de M. Langhans. Nouvelle édition",1772,NA
NA,spbk0000814,"Tissot, Samuel Auguste André David",Saggio sopra le malattie delle persone del gran mondo,1770,NA
NA,spbk0000814,"Tissot, Samuel Auguste André David",Essai sur les maladies des gens du monde,NA,NA
NA,spbk0000816,"Lieberkühn, Philipp Julius",Essai sur les moyens d'exciter et d'entretenir l'amour du prochain dans le coeur des jeunes gens destinés aux grandes dignités ou à posséder de grandes richesses,1787,NA
